URL	chrom://7040-86g6c92/XVault/Ultimate_3000/20/20240517_CMO_FP23_FP25_MarkusDeplate.seq/982.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Sequence	20240517_CMO_FP23_FP25_MarkusDeplate
Name	FP25_25.1_s4
Number	44
Position	BD8
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	28.05.2024 23:24:07 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-1.014625
Signal Max.	64.190000
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.011500
0.016667	1	-0.010500
0.033333	1	-0.009375
0.050000	1	-0.008625
0.066667	1	-0.007500
0.083333	1	-0.006125
0.100000	1	-0.004875
0.116667	1	-0.003375
0.133333	1	-0.002000
0.150000	1	-0.001375
0.166667	1	0.000000
0.183333	1	0.000750
0.200000	1	0.002125
0.216667	1	0.002750
0.233333	1	0.003875
0.250000	1	0.004625
0.266667	1	0.005000
0.283333	1	0.005500
0.300000	1	0.006750
0.316667	1	0.007125
0.333333	1	0.007125
0.350000	1	0.006375
0.366667	1	0.005625
0.383333	1	0.004625
0.400000	1	0.004000
0.416667	1	0.003625
0.433333	1	0.004250
0.450000	1	0.005250
0.466667	1	0.006750
0.483333	1	0.008375
0.500000	1	0.008875
0.516667	1	0.009000
0.533333	1	0.008750
0.550000	1	0.008000
0.566667	1	0.006250
0.583333	1	0.004000
0.600000	1	0.001125
0.616667	1	-0.002000
0.633333	1	-0.004875
0.650000	1	-0.006625
0.666667	1	-0.008625
0.683333	1	-0.009500
0.700000	1	-0.009750
0.716667	1	-0.010625
0.733333	1	-0.010625
0.750000	1	-0.010375
0.766667	1	-0.010500
0.783333	1	-0.011375
0.800000	1	-0.011125
0.816667	1	-0.011250
0.833333	1	-0.011500
0.850000	1	-0.011500
0.866667	1	-0.011875
0.883333	1	-0.011750
0.900000	1	-0.012500
0.916667	1	-0.012875
0.933333	1	-0.013625
0.950000	1	-0.014875
0.966667	1	-0.015250
0.983333	1	-0.015750
1.000000	1	-0.016500
1.016667	1	-0.017250
1.033333	1	-0.017250
1.050000	1	-0.017500
1.066667	1	-0.018125
1.083333	1	-0.018375
1.100000	1	-0.018875
