File Path	chrom://990-75db15j/XVault/Ultimate_3000/1256/20230531_CMO_stabTest _FP08_FP09.seq/479.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Injection	Btet_S02
Injection Number	7
Position	BB3
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	01.06.2023
Injection Time	16:50:36
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.687125
Signal Max.	87.287625
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.040750
0.016667	1	-0.044625
0.033333	1	-0.046750
0.050000	1	-0.047375
0.066667	1	-0.047750
0.083333	1	-0.047375
0.100000	1	-0.046625
0.116667	1	-0.046125
0.133333	1	-0.046625
0.150000	1	-0.046750
0.166667	1	-0.046875
0.183333	1	-0.047000
0.200000	1	-0.046500
0.216667	1	-0.045500
0.233333	1	-0.045000
0.250000	1	-0.044375
0.266667	1	-0.043250
0.283333	1	-0.041250
0.300000	1	-0.040875
0.316667	1	-0.044750
0.333333	1	-0.052125
0.350000	1	-0.057250
0.366667	1	-0.058375
0.383333	1	-0.056250
0.400000	1	-0.053625
0.416667	1	-0.050500
0.433333	1	-0.046125
0.450000	1	-0.042625
0.466667	1	-0.039750
0.483333	1	-0.038250
0.500000	1	-0.038500
0.516667	1	-0.039625
0.533333	1	-0.042250
0.550000	1	-0.043750
0.566667	1	-0.044375
0.583333	1	-0.045750
0.600000	1	-0.047250
0.616667	1	-0.048625
0.633333	1	-0.049625
0.650000	1	-0.049500
0.666667	1	-0.049750
0.683333	1	-0.049875
0.700000	1	-0.050500
0.716667	1	-0.050875
0.733333	1	-0.051250
0.750000	1	-0.051375
0.766667	1	-0.052000
0.783333	1	-0.051500
0.800000	1	-0.051375
0.816667	1	-0.051500
0.833333	1	-0.051500
0.850000	1	-0.051000
0.866667	1	-0.050375
0.883333	1	-0.050500
0.900000	1	-0.050250
0.916667	1	-0.049750
0.933333	1	-0.049250
0.950000	1	-0.048750
0.966667	1	-0.048750
0.983333	1	-0.048375
1.000000	1	-0.048625
1.016667	1	-0.048125
1.033333	1	-0.048375
1.050000	1	-0.047625
1.066667	1	-0.046750
1.083333	1	-0.045875
1.100000	1	-0.046125
1.116667	1	-0.047125
1.133333	1	-0.047125
1.150000	1	-0.047375
1.166667	1	-0.047375
1.183333	1	-0.047625
1.200000	1	-0.047875
1.216667	1	-0.047500
1.233333	1	-0.047125
1.250000	1	-0.046875
1.266667	1	-0.046750
1.283333	1	-0.047250
1.300000	1	-0.047125
1.316667	1	-0.047250
1.333333	1	-0.047375
1.350000	1	-0.047250
1.366667	1	-0.047625
1.383333	1	-0.048000
1.400000	1	-0.048125
1.416667	1	-0.048250
1.433333	1	-0.048875
1.450000	1	-0.049375
1.466667	1	-0.049875
1.483333	1	-0.050250
1.500000	1	-0.050875
1.516667	1	-0.051125
1.533333	1	-0.051375
1.550000	1	-0.052125
1.566667	1	-0.052500
1.583333	1	-0.052750
1.600000	1	-0.053750
1.616667	1	-0.053500
1.633333	1	-0.053500
1.650000	1	-0.053875
1.666667	1	-0.054125
1.683333	1	-0.053875
1.700000	1	-0.054000
1.716667	1	-0.054250
1.733333	1	-0.055125
1.750000	1	-0.055500
1.766667	1	-0.055375
1.783333	1	-0.055250
1.800000	1	-0.056000
1.816667	1	-0.056000
1.833333	1	-0.055750
1.850000	1	-0.055625
1.866667	1	-0.056000
1.883333	1	-0.056250
1.900000	1	-0.056375
1.916667	1	-0.056750
1.933333	1	-0.057125
1.950000	1	-0.057125
1.966667	1	-0.057500
1.983333	1	-0.057125
2.000000	1	-0.057500
2.016667	1	-0.057750
2.033333	1	-0.057375
2.050000	1	-0.057500
2.066667	1	-0.057375
2.083333	1	-0.057750
2.100000	1	-0.057625
2.116667	1	-0.057375
2.133333	1	-0.056750
2.150000	1	-0.056750
2.166667	1	-0.056875
2.183333	1	-0.056500
2.200000	1	-0.055875
2.216667	1	-0.055625
2.233333	1	-0.055125
2.250000	1	-0.054750
2.266667	1	-0.054250
2.283333	1	-0.054125
2.300000	1	-0.053375
2.316667	1	-0.053625
2.333333	1	-0.053375
2.350000	1	-0.052125
2.366667	1	-0.052000
2.383333	1	-0.051250
2.400000	1	-0.050375
2.416667	1	-0.050125
2.433333	1	-0.049625
2.450000	1	-0.049625
2.466667	1	-0.049500
2.483333	1	-0.048375
2.500000	1	-0.047750
2.516667	1	-0.047500
2.533333	1	-0.047250
2.550000	1	-0.046250
2.566667	1	-0.045250
2.583333	1	-0.045375
2.600000	1	-0.045125
2.616667	1	-0.044125
2.633333	1	-0.044000
2.650000	1	-0.043000
2.666667	1	-0.042375
2.683333	1	-0.041500
2.700000	1	-0.040875
2.716667	1	-0.040125
2.733333	1	-0.039000
2.750000	1	-0.038375
2.766667	1	-0.037250
2.783333	1	-0.036375
2.800000	1	-0.035625
2.816667	1	-0.034625
2.833333	1	-0.033750
2.850000	1	-0.032875
2.866667	1	-0.031625
2.883333	1	-0.030750
2.900000	1	-0.030125
2.916667	1	-0.029125
