,Unnamed: 0,notes,strain,species,experiment,experiment_short,exp_number,medium,experimentator,sample_number,growth_rate,use_in_study,num_av,date_of_experiment,glucose,glucose_y0,glucose_OD,glucose_conc,acetate,acetate_y0,acetate_OD,acetate_conc,propionate,propionate_y0,propionate_OD,propionate_conc,succinate,succinate_y0,succinate_OD,succinate_conc,lactate,lactate_y0,lactate_OD,lactate_conc,butyrate,butyrate_y0,butyrate_OD,butyrate_conc,formate,formate_y0,formate_OD,formate_conc,ethanol,ethanol_y0,ethanol_OD,ethanol_conc,exp_number_usedonly,glucose_std,acetate_std,propionate_std,succinate_std,lactate_std,butyrate_std,formate_std,ethanol_std,growth_rate_std
0,25.0,,DSM20083,B.adolescentis,yield_expt_modified_epsilon_rt5,run2,26,epsilon_plus,Richa,,0.3322235708918655,no,1.0,,-2.190101845228284,19.20023532403855,[0.081 0.099 0.146 0.31 ],[19.02843923 19.00517618 18.84466063 18.52976048],9.85206036174844,12.331014176092058,[0.081 0.099 0.146 0.31 ],[13.09067378 13.35267192 13.7634011  15.38322029],2.107554784662526,7.231406196737674,[0.081 0.099 0.146 0.31 ],[7.41084654 7.47207143 7.48572836 7.8973833 ],-0.2994476112032501,0.4278193704849732,[0.081 0.099 0.146 0.31 ],[0.40634922 0.39545502 0.38370933 0.33531523],0.8029105525091407,0.7727742807570617,[0.081 0.099 0.146 0.31 ],[0.85720552 0.83838407 0.88077219 1.02538645],0.7977075393431362,0.0256740161371602,[0.081 0.099 0.146 0.31 ],[0.06891062 0.11164369 0.16298814 0.26649561],1.877163228290608,2.374396022848641,[0.081 0.099 0.146 0.31 ],[2.51354167 2.57216619 2.65113079 2.95462126],9.623871777017207,8.463324285147227,[0.081 0.099 0.146 0.31 ],[ 9.21967341  9.37982148  9.94744248 11.42714222],,,,,,,,,,
1,60.0,check succinate/lactate and third peak fitting,DSM20083,B.adolescentis,Julien,Julien,61,epsilon_plus,Julien,,0.7401410839383253,yes,1.0,2022-05-10 00:00:00,-9.600128627449692,17.80639796648478,[0.13 0.25 0.38 0.45],[16.44315781 15.63291172 14.03781078 13.49555592],13.758580418965598,-0.9680812047636074,[0.13 0.25 0.38 0.45],[1.18205658 1.92638881 4.16514896 5.50196313],-0.7614622110870024,2.8549342974619027,[0.13 0.38 0.45],[2.75805644 2.55592276 2.51981997],2.4340973626254483,-0.3610972866851072,[0.13 0.25 0.38 0.45],[0.04529598 0.09109942 0.59926158 0.76521168],7.819566477082661,-0.4178043234412223,[0.13 0.25 0.38 0.45],[0.68546907 1.38783458 2.58358841 3.13356608],0.0732924749527794,-0.4914451444677833,[0.13 0.25 0.45],[-0.48088084 -0.47478007 -0.45784176],1.0633463824575222,-0.5401470919521925,[0.13 0.25 0.38 0.45],[-0.38663857 -0.33819222 -0.02337793 -0.12573052],-4.283146183594601,2.5806657707004206,[0.13 0.38 0.45],[1.87698927 1.62446451 0.1287232 ],1.0,,,,,,,,,
2,150.0,,DSM20083,B.adolescentis,TG2022-SaturdaySunday,TG2022-SaturdaySunday,151,tbd,Jonas,,0.6478611837277543,yes,1.0,,-8.824309590793654,19.14920806181525,[0.127 0.233 0.312 0.408],[17.95869346 17.52736373 15.80886724 15.77165346],9.535520108405944,12.072025868873007,[0.127 0.233 0.312 0.408],[13.2074146  14.27716663 15.29878597 15.80309799],-2.4120971976709686,7.614551218989419,[0.127 0.233 0.312 0.408],[7.26292303 7.05417081 6.99156352 6.54448254],-0.2096632811373383,0.4096912441720232,[0.127 0.233 0.312 0.408],[0.41890893 0.30680012 0.33786486 0.34875471],4.335952780255031,0.4836370632024245,[0.127 0.233 0.312 0.408],[1.00464557 1.50876354 1.89619494 2.20777321],-0.5767380535649088,0.2277502783104223,[0.127 0.233 0.312 0.408],[0.19693101 0.03703151 0.02632316 0.02783834],-3.350445582532358,2.9483648605032515,[0.127 0.233 0.312 0.408],[2.55820521 2.49109527 1.21005989 1.91561784],-6.179591636567196,11.113853422031443,[0.127 0.233 0.312 0.408],[10.31611343  9.45379992  9.62509547  8.3864459 ],2.0,,,,,,,,,
3,134.0,,DSM20083,B.adolescentis,TG2022-Friday,TG2022-Friday,135,tbd,Jonas,,0.6495591858955044,yes,1.0,,-8.993159414403543,18.712141806474087,[0.122 0.17  0.325 0.432],[17.62366792 17.16096626 15.81888172 14.8112271 ],12.05666898971418,10.144503159906556,[0.122 0.17  0.325 0.432],[11.64808488 12.13105244 14.12274314 15.32357795],-0.4950784367517726,5.926775276351359,[0.122 0.17  0.325 0.432],[5.90198615 5.78100322 5.81355934 5.69121511],-0.5975871844877629,0.4723385190007879,[0.122 0.17  0.325 0.432],[0.38429498 0.38157889 0.29546136 0.20114989],4.239196487265623,0.2350324073357244,[0.122 0.17  0.325 0.432],[0.75945873 0.92351812 1.67057319 2.0334967 ],-0.1714077260440156,0.0781219169697226,[0.122 0.17  0.325],[0.06860006 0.03406553 0.0259416 ],1.0196211493990923,1.981721393823015,[0.122 0.17  0.325 0.432],[2.13258464 2.1221484  2.31699094 2.42474418],-1.3651700388271906,7.899500761061002,[0.122 0.17  0.325 0.432],[7.83404841 7.46809732 7.65098431 7.21280964],3.0,,,,,,,,,
4,175.0,,DSM20083,B.adolescentis,BHI-Richa-22Dec30,BHI-Richa-22Dec30,176,BHI,Richa/Jonas,2.0,0.5363639959843294,yes,1.0,2022-12-30 00:00:00,-7.080979117143462,7.0074455396690745,[0.134 0.195 0.264 0.344 0.39 ],[6.0088957  5.68302442 5.10713603 4.69393756 4.14777469],9.988173933280423,1.8835938028641657,[0.134 0.195 0.264 0.344 0.39 ],[3.25875874 3.76892721 4.58933511 5.19073448 5.86452028],-1.1249716733156174,12.091262875652967,[0.134 0.195 0.264 0.344 0.39 ],[11.90813365 11.87264503 11.83520323 11.76918442 11.57831064],-0.311289519608169,1.4143343205508565,[0.134 0.195 0.264 0.344 0.39 ],[1.35855977 1.36749445 1.33679902 1.31402272 1.28171445],2.935556438149842,1.5931048696335115,[0.134 0.195 0.264 0.344 0.39 ],[2.00165138 2.13900865 2.38779572 2.57693668 2.7556153 ],0.0865970550533303,0.0419275322840424,[0.134 0.195 0.264 0.344 0.39 ],[0.05480439 0.05566837 0.05529895 0.1039627  0.05481755],1.5496225572259676,1.0968735663770584,[0.134 0.195 0.264 0.344 0.39 ],[1.39078352 1.41259139 1.36524626 1.47795267 1.89414313],-8.046410390868903,5.272950196629942,[0.134 0.195 0.264 0.344 0.39 ],[4.20290821 3.86947383 2.88461697 2.48094189 2.2492235 ],4.0,,,,,,,,,
5,174.0,,DSM20083,B.adolescentis,BHI-Richa-22Dec30,BHI-Richa-22Dec30,175,BHI,Richa/Jonas,1.0,0.4825867866221933,yes,1.0,2022-12-30 00:00:00,-7.582558125433058,7.053387356936571,[0.13  0.166 0.23  0.3   0.373],[6.08696773 5.81912622 5.2946686  4.67387466 4.30081238],10.792742849451168,1.7674197424333544,[0.13  0.166 0.23  0.3   0.373],[3.15198604 3.56176322 4.26771572 5.02380771 5.7723247 ],-0.994333240202694,11.986198062205546,[0.13  0.166 0.23  0.3   0.373],[11.89988553 11.86622183 11.73384533 11.46342661 11.77540546],-0.1669492745531343,1.3853621238634315,[0.13  0.166 0.23  0.3   0.373],[1.35919381 1.36715221 1.34787321 1.32140978 1.33100943],3.307570028011782,1.5188945049158336,[0.13  0.166 0.23  0.3   0.373],[1.9742039  2.07423298 2.25691241 2.45356316 2.80133653],,,,,2.0431799433171705,1.0789109277344775,[0.13  0.166 0.23  0.3  ],[1.44608266 1.41868137 1.30104713 1.83749918],,,,,5.0,,,,,,,,,
6,108.0,,HM-727,B.finegoldii,BHI-Richa-22Dec24,BHI-Richa-22Dec24,109,BHI,Richa,,0.6578572713034266,yes,1.0,2022-12-24 00:00:00,-3.7294559670597662,7.398021212100948,[0.076 0.095 0.123 0.181 0.231],[7.10927064 7.04473288 6.95012603 6.71332121 6.53965939],4.120327249164957,2.801805605610209,[0.076 0.095 0.123 0.181 0.231],[3.08578224 3.21209885 3.3281305  3.54452809 3.74743939],-0.6266562497919438,13.154237992373169,[0.076 0.095 0.123 0.181 0.231],[13.11891996 13.06737923 13.08969153 13.04991707 13.00286285],1.586307889030656,1.539297046510643,[0.076 0.095 0.123 0.181 0.231],[1.68833128 1.65946857 1.7218598  1.84829696 1.898462  ],0.4839834145460522,2.026479874191586,[0.076 0.095 0.123 0.181 0.231],[2.05990177 2.08316495 2.08242103 2.1031292  2.1454747 ],-0.0240719218523898,0.0456936283249105,[0.076 0.095 0.123 0.181 0.231],[0.03990938 0.04973769 0.04141295 0.03922723 0.04118611],4.818025572422358,1.0537371740686825,[0.076 0.095 0.123 0.181 0.231],[1.53959682 1.41876381 1.54497405 2.02584846 2.14102878],-1.9791942776684384,1.9722090342961949,[0.076 0.095 0.123 0.181 0.231],[1.76076379 2.0078404  1.48400712 1.72349964 1.48762306],6.0,,,,,,,,,
7,109.0,,HM-727,B.finegoldii,BHI-Richa-22Dec24,BHI-Richa-22Dec24,110,BHI,Richa,,0.5997323066354712,yes,1.0,2022-12-24 00:00:00,-2.9354644517517965,7.29148450959851,[0.089 0.117 0.142 0.213 0.255],[7.00781722 6.94909096 6.89642674 6.69274449 6.51600414],4.52175603851499,2.7507468484687165,[0.089 0.117 0.142 0.213 0.255],[3.12938049 3.29054589 3.41213405 3.72070437 3.89072236],0.6992071488703961,12.866312977716214,[0.089 0.117 0.142 0.213 0.255],[12.96803096 12.95432159 12.88783141 13.04803    13.04390397],1.4976960845569227,1.4866072993178547,[0.089 0.117 0.142 0.213 0.255],[1.65917642 1.66987705 1.61798429 1.84269978 1.86541896],0.8424707900307113,1.9922979719433087,[0.089 0.117 0.142 0.213 0.255],[2.05197055 2.09111697 2.14192593 2.15071696 2.21321561],-0.1221831138267308,0.0830232682287615,[0.089 0.117 0.142 0.213 0.255],[0.04680466 0.10291217 0.0598357  0.06055451 0.04530787],6.144799158582285,0.7182763019178262,[0.089 0.117 0.142 0.213 0.255],[1.34953505 1.41211296 1.46141412 2.12434835 2.25812714],-0.2112168334999222,1.3779531552975266,[0.089 0.117 0.142 0.213 0.255],[1.79975049 1.13256054 0.98602549 1.29043156 1.50864475],7.0,,,,,,,,,
8,159.0,,ATCC21523576,B.fragilis,BHI-Dec6,BHI-Dec6,160,BHI,Jonas,,0.7239842857026062,no,1.0,2022-12-06 00:00:00,-4.190565322025027,7.116379194239977,[0.151 0.209 0.369 0.495],[6.56596025 6.39302874 4.99911432 5.37816152],2.328424652806876,2.919297752307544,[0.151 0.209 0.369 0.495],[3.03610958 3.16211153 4.97292245 3.35603923],5.493932414683947,9.99972969030423,[0.151 0.209 0.369 0.495],[11.21118889 10.99563779 11.33016105 13.1865043 ],-4.81395442574694,2.9680491667959066,[0.151 0.209 0.369 0.495],[2.05250823 1.90114556 1.84467737 0.18158528],0.4723036911676337,1.904521418112514,[0.151 0.209 0.369 0.495],[1.90827109 1.96869186 2.34167602 1.97754643],-0.102988725406882,0.0971991101167941,[0.151 0.209 0.369 0.495],[0.06089988 0.10393921 0.05168494 0.04621421],8.301795386962091,1.151887672160795,[0.151 0.209 0.369 0.495],[1.55058648 1.82018072 8.97061345 2.42756758],-3.278258734673213,3.091951230408945,[0.151 0.209 0.369 0.495],[1.08156103 4.32469697 1.66615024 1.28280799],,,,,,,,,,
9,52.0,,ATCC21523576,B.fragilis,yield_scfa_simple_medium,simple,53,epsilon_noTryp,Richa,,0.4167087464186838,yes,1.0,,-6.289938365450791,21.822075585785804,[0.08  0.17  0.368],[21.2121392  20.90804616 19.45885949],3.6464279272493223,-0.5311763774480399,[0.08  0.17  0.368],[-0.18775361  0.01350396  0.83421298],1.684304430999654,-0.3759012286826033,[0.08  0.17  0.368],[-0.21821096 -0.12294535  0.25435276],0.4205717184555056,0.0618548709904948,[0.08  0.17  0.368],[0.09874284 0.12863609 0.218099  ],0.2261024010920949,0.043961558935192,[0.08  0.17  0.368],[0.06669582 0.07564105 0.12927909],0.0383638308524652,0.0209360379771272,[0.17  0.368],[0.02745789 0.03505393],3.0835313355155836,0.4812523797254194,[0.08  0.17  0.368],[0.77263182 0.94043899 1.6363087 ],,,,,8.0,,,,,,,,,
