,notes,strain,species,experiment,experiment_short,exp_number,medium,experimentator,sample_number,growth_rate,use_in_study,num_av,date_of_experiment,glucose,glucose_y0,glucose_OD,glucose_conc,acetate,acetate_y0,acetate_OD,acetate_conc,propionate,propionate_y0,propionate_OD,propionate_conc,succinate,succinate_y0,succinate_OD,succinate_conc,lactate,lactate_y0,lactate_OD,lactate_conc,butyrate,butyrate_y0,butyrate_OD,butyrate_conc,formate,formate_y0,formate_OD,formate_conc,ethanol,ethanol_y0,ethanol_OD,ethanol_conc,exp_number_usedonly
25,,DSM20083,B.adolescentis,yield_expt_modified_epsilon_rt5,run2,26.0,epsilon_plus,Richa,,0.3322235708918655,no,1.0,,-2.1901018452282917,19.200235324038566,[0.081 0.099 0.146 0.31 ],[19.02843923 19.00517618 18.84466063 18.52976048],9.852060361748443,12.33101417609206,[0.081 0.099 0.146 0.31 ],[13.09067378 13.35267192 13.7634011  15.38322029],2.1075547846625295,7.231406196737676,[0.081 0.099 0.146 0.31 ],[7.41084654 7.47207143 7.48572836 7.8973833 ],-0.2994476112032499,0.42781937048497354,[0.081 0.099 0.146 0.31 ],[0.40634922 0.39545502 0.38370933 0.33531523],0.8029105525091408,0.7727742807570622,[0.081 0.099 0.146 0.31 ],[0.85720552 0.83838407 0.88077219 1.02538645],0.7977075393431362,0.025674016137160333,[0.081 0.099 0.146 0.31 ],[0.06891062 0.11164369 0.16298814 0.26649561],1.877163228290609,2.374396022848643,[0.081 0.099 0.146 0.31 ],[2.51354167 2.57216619 2.65113079 2.95462126],9.623871777017206,8.463324285147229,[0.081 0.099 0.146 0.31 ],[ 9.21967341  9.37982148  9.94744248 11.42714222],
60,check succinate/lactate and third peak fitting,DSM20083,B.adolescentis,Julien,Julien,61.0,epsilon_plus,Julien,,0.7401410839383253,yes,1.0,2022-05-10 00:00:00,-9.600128627449687,17.80639796648478,[0.13 0.25 0.38 0.45],[16.44315781 15.63291172 14.03781078 13.49555592],13.758580418965604,-0.9680812047636118,[0.13 0.25 0.38 0.45],[1.18205658 1.92638881 4.16514896 5.50196313],-0.761462211087004,2.8549342974619036,[0.13 0.38 0.45],[2.75805644 2.55592276 2.51981997],2.434097362625449,-0.36109728668510754,[0.13 0.25 0.38 0.45],[0.04529598 0.09109942 0.59926158 0.76521168],7.819566477082664,-0.4178043234412235,[0.13 0.25 0.38 0.45],[0.68546907 1.38783458 2.58358841 3.13356608],0.07329247495277968,-0.4914451444677832,[0.13 0.25 0.45],[-0.48088084 -0.47478007 -0.45784176],1.0633463824575218,-0.5401470919521921,[0.13 0.25 0.38 0.45],[-0.38663857 -0.33819222 -0.02337793 -0.12573052],-4.2831461835946,2.5806657707004215,[0.13 0.38 0.45],[1.87698927 1.62446451 0.1287232 ],1.0
36, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,DSM20083,B.adolescentis,TG2022-SaturdaySunday,TG2022-SaturdaySunday,151.0,tbd,Jonas,,0.6478611837277543,yes,1.0,,-8.824309590793659,19.149208061815244,[0.127 0.233 0.312 0.408],[17.95869346 17.52736373 15.80886724 15.77165346],9.535520108405937,12.07202586887301,[0.127 0.233 0.312 0.408],[13.2074146  14.27716663 15.29878597 15.80309799],-2.412097197670975,7.61455121898942,[0.127 0.233 0.312 0.408],[7.26292303 7.05417081 6.99156352 6.54448254],-0.2096632811373389,0.40969124417202335,[0.127 0.233 0.312 0.408],[0.41890893 0.30680012 0.33786486 0.34875471],4.33595278025503,0.48363706320242483,[0.127 0.233 0.312 0.408],[1.00464557 1.50876354 1.89619494 2.20777321],-0.576738053564909,0.22775027831042244,[0.127 0.233 0.312 0.408],[0.19693101 0.03703151 0.02632316 0.02783834],-3.3504455825323594,2.948364860503251,[0.127 0.233 0.312 0.408],[2.55820521 2.49109527 1.21005989 1.91561784],-6.179591636567206,11.113853422031445,[0.127 0.233 0.312 0.408],[10.31611343  9.45379992  9.62509547  8.3864459 ],2.0
134,,DSM20083,B.adolescentis,TG2022-Friday,TG2022-Friday,135.0,tbd,Jonas,,0.6495591858955044,yes,1.0,,-8.993159414403493,18.712141806474072,[0.122 0.17  0.325 0.432],[17.62366792 17.16096626 15.81888172 14.8112271 ],12.056668989714195,10.144503159906549,[0.122 0.17  0.325 0.432],[11.64808488 12.13105244 14.12274314 15.32357795],-0.49507843675176466,5.926775276351357,[0.122 0.17  0.325 0.432],[5.90198615 5.78100322 5.81355934 5.69121511],-0.5975871844877627,0.47233851900078794,[0.122 0.17  0.325 0.432],[0.38429498 0.38157889 0.29546136 0.20114989],4.239196487265623,0.23503240733572442,[0.122 0.17  0.325 0.432],[0.75945873 0.92351812 1.67057319 2.0334967 ],-0.1714077260440157,0.07812191696972269,[0.122 0.17  0.325],[0.06860006 0.03406553 0.0259416 ],1.0196211493990948,1.9817213938230136,[0.122 0.17  0.325 0.432],[2.13258464 2.1221484  2.31699094 2.42474418],-1.3651700388271755,7.899500761060998,[0.122 0.17  0.325 0.432],[7.83404841 7.46809732 7.65098431 7.21280964],3.0
175,,DSM20083,B.adolescentis,BHI-Richa-22Dec30,BHI-Richa-22Dec30,176.0,BHI,Richa/Jonas,2.0,0.5363639959843294,yes,1.0,2022-12-30 00:00:00,-7.080979117143467,7.007445539669077,[0.134 0.195 0.264 0.344 0.39 ],[6.0088957  5.68302442 5.10713603 4.69393756 4.14777469],9.98817393328043,1.8835938028641606,[0.134 0.195 0.264 0.344 0.39 ],[3.25875874 3.76892721 4.58933511 5.19073448 5.86452028],-1.1249716733156347,12.091262875652975,[0.134 0.195 0.264 0.344 0.39 ],[11.90813365 11.87264503 11.83520323 11.76918442 11.57831064],-0.31128951960816953,1.4143343205508565,[0.134 0.195 0.264 0.344 0.39 ],[1.35855977 1.36749445 1.33679902 1.31402272 1.28171445],2.9355564381498427,1.5931048696335113,[0.134 0.195 0.264 0.344 0.39 ],[2.00165138 2.13900865 2.38779572 2.57693668 2.7556153 ],0.08659705505333044,0.04192753228404243,[0.134 0.195 0.264 0.344 0.39 ],[0.05480439 0.05566837 0.05529895 0.1039627  0.05481755],1.5496225572259685,1.0968735663770581,[0.134 0.195 0.264 0.344 0.39 ],[1.39078352 1.41259139 1.36524626 1.47795267 1.89414313],-8.04641039086891,5.272950196629947,[0.134 0.195 0.264 0.344 0.39 ],[4.20290821 3.86947383 2.88461697 2.48094189 2.2492235 ],4.0
174,,DSM20083,B.adolescentis,BHI-Richa-22Dec30,BHI-Richa-22Dec30,175.0,BHI,Richa/Jonas,1.0,0.4825867866221933,yes,1.0,2022-12-30 00:00:00,-7.582558125433061,7.053387356936571,[0.13  0.166 0.23  0.3   0.373],[6.08696773 5.81912622 5.2946686  4.67387466 4.30081238],10.79274284945116,1.7674197424333569,[0.13  0.166 0.23  0.3   0.373],[3.15198604 3.56176322 4.26771572 5.02380771 5.7723247 ],-0.9943332402027125,11.986198062205547,[0.13  0.166 0.23  0.3   0.373],[11.89988553 11.86622183 11.73384533 11.46342661 11.77540546],-0.1669492745531373,1.3853621238634322,[0.13  0.166 0.23  0.3   0.373],[1.35919381 1.36715221 1.34787321 1.32140978 1.33100943],3.3075700280117784,1.5188945049158344,[0.13  0.166 0.23  0.3   0.373],[1.9742039  2.07423298 2.25691241 2.45356316 2.80133653],,,,,2.04317994331717,1.0789109277344773,[0.13  0.166 0.23  0.3  ],[1.44608266 1.41868137 1.30104713 1.83749918],,,,,5.0
108,,HM-727,B.finegoldii,BHI-Richa-22Dec24,BHI-Richa-22Dec24,109.0,BHI,Richa,,0.6578572713034266,yes,1.0,2022-12-24 00:00:00,-3.7294559670597467,7.398021212100943,[0.076 0.095 0.123 0.181 0.231],[7.10927064 7.04473288 6.95012603 6.71332121 6.53965939],4.120327249164976,2.801805605610207,[0.076 0.095 0.123 0.181 0.231],[3.08578224 3.21209885 3.3281305  3.54452809 3.74743939],-0.6266562497918795,13.154237992373158,[0.076 0.095 0.123 0.181 0.231],[13.11891996 13.06737923 13.08969153 13.04991707 13.00286285],1.5863078890306632,1.539297046510642,[0.076 0.095 0.123 0.181 0.231],[1.68833128 1.65946857 1.7218598  1.84829696 1.898462  ],0.4839834145460614,2.026479874191584,[0.076 0.095 0.123 0.181 0.231],[2.05990177 2.08316495 2.08242103 2.1031292  2.1454747 ],-0.02407192185238969,0.04569362832491051,[0.076 0.095 0.123 0.181 0.231],[0.03990938 0.04973769 0.04141295 0.03922723 0.04118611],4.818025572422363,1.0537371740686823,[0.076 0.095 0.123 0.181 0.231],[1.53959682 1.41876381 1.54497405 2.02584846 2.14102878],-1.9791942776684337,1.9722090342961949,[0.076 0.095 0.123 0.181 0.231],[1.76076379 2.0078404  1.48400712 1.72349964 1.48762306],6.0
109,,HM-727,B.finegoldii,BHI-Richa-22Dec24,BHI-Richa-22Dec24,110.0,BHI,Richa,,0.5997323066354712,yes,1.0,2022-12-24 00:00:00,-2.9354644517517965,7.291484509598512,[0.089 0.117 0.142 0.213 0.255],[7.00781722 6.94909096 6.89642674 6.69274449 6.51600414],4.521756038515004,2.750746848468714,[0.089 0.117 0.142 0.213 0.255],[3.12938049 3.29054589 3.41213405 3.72070437 3.89072236],0.699207148870416,12.866312977716216,[0.089 0.117 0.142 0.213 0.255],[12.96803096 12.95432159 12.88783141 13.04803    13.04390397],1.497696084556922,1.4866072993178552,[0.089 0.117 0.142 0.213 0.255],[1.65917642 1.66987705 1.61798429 1.84269978 1.86541896],0.8424707900307086,1.9922979719433094,[0.089 0.117 0.142 0.213 0.255],[2.05197055 2.09111697 2.14192593 2.15071696 2.21321561],-0.1221831138267309,0.08302326822876159,[0.089 0.117 0.142 0.213 0.255],[0.04680466 0.10291217 0.0598357  0.06055451 0.04530787],6.1447991585822885,0.7182763019178249,[0.089 0.117 0.142 0.213 0.255],[1.34953505 1.41211296 1.46141412 2.12434835 2.25812714],-0.21121683349991552,1.377953155297525,[0.089 0.117 0.142 0.213 0.255],[1.79975049 1.13256054 0.98602549 1.29043156 1.50864475],7.0
37, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,ATCC25285,B.fragilis,BHI-Dec6,BHI-Dec6,160.0,BHI,Jonas,,0.7239842857026062,no,1.0,2022-12-06 00:00:00,-4.190565322025033,7.116379194239979,[0.151 0.209 0.369 0.495],[6.56596025 6.39302874 4.99911432 5.37816152],2.328424652806878,2.919297752307543,[0.151 0.209 0.369 0.495],[3.03610958 3.16211153 4.97292245 3.35603923],5.4939324146839175,9.999729690304243,[0.151 0.209 0.369 0.495],[11.21118889 10.99563779 11.33016105 13.1865043 ],-4.8139544257469415,2.968049166795908,[0.151 0.209 0.369 0.495],[2.05250823 1.90114556 1.84467737 0.18158528],0.47230369116763365,1.904521418112514,[0.151 0.209 0.369 0.495],[1.90827109 1.96869186 2.34167602 1.97754643],-0.10298872540688227,0.09719911011679425,[0.151 0.209 0.369 0.495],[0.06089988 0.10393921 0.05168494 0.04621421],8.301795386962088,1.1518876721607967,[0.151 0.209 0.369 0.495],[1.55058648 1.82018072 8.97061345 2.42756758],-3.2782587346732166,3.0919512304089465,[0.151 0.209 0.369 0.495],[1.08156103 4.32469697 1.66615024 1.28280799],
26, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
